City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,moose factory,51.2585,-80.6094,-16.0,78,100,5.14,CA,1674541766
122,butaritari,3.0707,172.7902,27.36,80,54,7.67,KI,1674541767
123,richards bay,-28.783,32.0377,26.88,64,1,5.08,ZA,1674541790
124,banikoara,11.2985,2.4386,22.33,23,1,2.14,BJ,1674541794
125,aksu,41.1231,80.2644,-10.8,67,39,0.85,CN,1674541797
126,boueni,-12.9025,45.0761,28.99,79,99,8.88,YT,1674541798
127,mount isa,-20.7333,139.5,36.87,20,96,2.06,AU,1674541799
128,naze,28.3667,129.4833,8.51,77,100,15.2,JP,1674541659
129,centralia,46.7162,-122.9543,5.49,96,100,1.54,US,1674541817
130,padang,-0.9492,100.3543,28.03,88,100,2.15,ID,1674541550
131,pevek,69.7008,170.3133,-27.73,79,79,1.51,RU,1674541832
132,touros,-5.1989,-35.4608,25.48,80,73,4.44,BR,1674541835
133,yulara,-25.2406,130.9889,34.93,15,88,1.62,AU,1674541733
134,sidi ali,36.0998,0.4206,4.15,80,100,2.76,DZ,1674541848
135,jacobina,-11.1806,-40.5183,19.9,96,57,1.17,BR,1674541855
136,sitrah,26.1547,50.6206,20.53,68,0,1.03,BH,1674541858
137,wanaka,-44.7,169.15,23.95,38,27,3.13,NZ,1674541800
138,caravelas,-17.7125,-39.2481,24.77,88,100,3.63,BR,1674541861
139,balkanabat,39.5108,54.3671,2.86,31,0,1.57,TM,1674541861
140,port hardy,50.6996,-127.4199,5.1,100,100,4.12,CA,1674541862
141,cherskiy,68.75,161.3,-29.02,96,100,0.63,RU,1674541866
142,chiapa,18.4669,-96.945,13.59,95,65,1.4,MX,1674541871
143,kalmunai,7.4167,81.8167,26.84,73,90,5.86,LK,1674541871
144,morant bay,17.8815,-76.4093,24.79,81,6,4.91,JM,1674541872
145,geraldton,-28.7667,114.6,27.23,61,2,7.72,AU,1674541872
146,puerto del rosario,28.5004,-13.8627,17.86,59,75,7.72,ES,1674541876
147,cockburn town,21.4612,-71.1419,25.34,68,0,6.97,TC,1674541878
148,baherden,38.4362,57.4316,0.92,42,0,3.81,TM,1674541879
149,bohunovice,49.663,17.2869,1.83,90,50,4.14,CZ,1674541880
150,poya,-21.35,165.15,27.58,80,34,1.81,NC,1674541880
151,russkaya polyana,49.417,31.9201,-1.82,82,95,2.74,UA,1674541888
152,beringovskiy,63.05,179.3167,-24.29,98,98,5.81,RU,1674541890
153,havelock,34.8791,-76.9013,5.99,76,0,0.45,US,1674541891
154,brigantine,39.4101,-74.3646,3.34,67,100,9.26,US,1674541891
155,emirdag,39.0197,31.15,6.64,62,0,0.15,TR,1674541892
156,nome,64.5011,-165.4064,-17.96,65,0,9.77,US,1674541893
157,mapiripan,2.8892,-72.1256,23.27,80,99,1.19,CO,1674541894
158,wladyslawowo,54.7909,18.4009,-0.12,74,79,2.12,PL,1674541895
159,yining,29.0361,114.5636,5.0,30,0,3.87,CN,1674541897
160,belyy yar,53.6039,91.3903,-12.86,74,100,0.0,RU,1674541897
161,ucluelet,48.9329,-125.5528,7.27,91,100,0.75,CA,1674541900
162,eureka,40.8021,-124.1637,5.7,90,7,0.45,US,1674541900
163,aklavik,68.2191,-135.0107,-22.4,98,100,4.56,CA,1674541928
164,leningradskiy,69.3833,178.4167,-31.58,92,21,3.98,RU,1674541931
165,luderitz,-26.6481,15.1594,19.96,62,0,7.1,NA,1674541945
166,yima,34.7381,111.8839,-3.13,13,0,4.01,CN,1674541987
167,grindavik,63.8424,-22.4338,5.97,100,100,6.17,IS,1674541992
168,dennery,13.8996,-60.8879,26.05,81,40,9.77,LC,1674542021
169,sangar,63.9242,127.4739,-46.92,97,60,1.54,RU,1674542022
170,rincon,32.296,-81.2354,7.7,85,0,2.06,US,1674542024
171,nemuro,43.3236,145.575,-1.92,64,100,3.78,JP,1674542024
172,clemson,34.6834,-82.8374,0.38,80,0,1.54,US,1674542027
173,fortuna,40.5982,-124.1573,5.52,95,0,4.12,US,1674542027
174,irsha,55.9269,94.7911,-10.99,90,100,4.88,RU,1674542028
175,aykhal,66.0,111.5,-27.61,85,100,2.32,RU,1674542028
176,ayan,56.45,138.1667,-28.25,73,100,3.78,RU,1674542029
177,upernavik,72.7868,-56.1549,-22.01,93,100,4.02,GL,1674542030
178,jamestown,42.097,-79.2353,-1.66,64,100,8.23,US,1674542032
